logTP,fit,se,lwr,upr,LM,JB,DR,TSI
3.100712253,1.896044791,0.021013264,1.861445902,1.930643679,6.395997791,7.517413571,6.533429882,7.775144595
3.110712253,1.911806147,0.020996497,1.877234866,1.946377427,6.480481843,7.627972928,6.628788485,7.888626632
3.120712253,1.927564705,0.0209821,1.893017128,1.962112282,6.566081835,7.740158293,6.725538895,8.003764995
3.130712253,1.943319499,0.020970362,1.908791251,1.977847748,6.652812509,7.85399358,6.823701423,8.120583858
3.140712253,1.959069563,0.020961563,1.924555801,1.993583325,6.740688798,7.969503053,6.923296682,8.23910775
3.150712253,1.974813933,0.020955984,1.940309356,2.009318509,6.829725837,8.086711336,7.024345582,8.359361556
3.160712253,1.990551644,0.020953899,1.956050501,2.025052787,6.919938955,8.205643414,7.12686934,8.481370525
3.170712253,2.006281736,0.020955574,1.971777836,2.040785636,7.01134369,8.326324637,7.230889483,8.605160275
3.180712253,2.022003249,0.020961268,1.987489974,2.056516524,7.10395578,8.448780731,7.33642785,8.730756797
3.190712253,2.037715225,0.020971229,2.003185549,2.072244901,7.197791173,8.573037799,7.443506602,8.858186461
3.200712253,2.053416709,0.020985695,2.018863214,2.087970204,7.292866027,8.699122328,7.55214822,8.987476024
3.210712253,2.069106749,0.021004891,2.034521646,2.103691851,7.389196715,8.827061195,7.662375516,9.118652631
3.220712253,2.084784394,0.02102903,2.050159546,2.119409241,7.486799826,8.956881672,7.774211633,9.251743824
3.230712253,2.100448697,0.021058308,2.065775643,2.135121751,7.585692165,9.088611432,7.887680053,9.386777549
3.240712253,2.116098715,0.021092905,2.081368696,2.150828734,7.685890762,9.222278554,8.0028046,9.523782157
3.250712253,2.131733508,0.021132986,2.096937494,2.166529521,7.787412872,9.357911532,8.119609446,9.662786414
3.260712253,2.147352139,0.021178697,2.11248086,2.182223417,7.890275977,9.495539279,8.238119116,9.803819506
3.270712253,2.162953675,0.021230166,2.127997652,2.197909698,7.994497789,9.63519113,8.358358493,9.946911046
3.280712253,2.178537189,0.021287501,2.143486762,2.213587616,8.100096256,9.776896855,8.480352822,10.09209108
3.290712253,2.194101756,0.021350791,2.158947121,2.22925639,8.207089562,9.920686661,8.604127718,10.23939008
3.300712253,2.209646456,0.021420104,2.174377696,2.244915216,8.315496132,10.0665912,8.729709169,10.38883898
3.310712253,2.225170376,0.021495488,2.189777493,2.260563258,8.425334632,10.21464157,8.857123542,10.54046917
3.320712253,2.240672604,0.021576971,2.205145558,2.276199651,8.536623977,10.36486933,8.986397591,10.69431247
3.330712253,2.256152237,0.02166456,2.220480973,2.291823502,8.649383331,10.5173065,9.117558458,10.85040119
3.340712253,2.271608376,0.021758242,2.235782863,2.30743389,8.763632111,10.67198559,9.250633682,11.0087681
3.350712253,2.287040127,0.021857982,2.251050388,2.323029866,8.879389992,10.82893955,9.385651203,11.16944645
3.360712253,2.302446602,0.021963729,2.266282749,2.338610455,8.996676905,10.98820186,9.522639372,11.33246999
3.370712253,2.31782692,0.022075408,2.281479184,2.354174657,9.11551305,11.14980645,9.661626949,11.49787293
3.380712253,2.333180205,0.02219293,2.296638966,2.369721445,9.235918888,11.31378777,9.802643119,11.66569
3.390712253,2.348505588,0.022316186,2.311761406,2.385249771,9.357915153,11.48018079,9.945717488,11.83595645
3.400712253,2.363802207,0.022445048,2.326845848,2.400758566,9.481522855,11.64902096,10.0908801,12.00870802
3.410712253,2.379069206,0.022579376,2.341891673,2.416246738,9.606763278,11.82034428,10.23816143,12.18398099
3.420712253,2.394305735,0.022719011,2.35689829,2.43171318,9.733657987,11.99418728,10.3875924,12.36181215
3.430712253,2.409510953,0.022863781,2.37186514,2.447156766,9.862228836,12.17058699,10.53920439,12.54223884
3.440712253,2.424684027,0.023013501,2.386791695,2.462576358,9.992497963,12.34958104,10.69302923,12.72529895
3.450712253,2.439824128,0.023167975,2.401677452,2.477970804,10.1244878,12.53120757,10.84909922,12.91103091
3.460712253,2.454930438,0.023326992,2.416521936,2.49333894,10.25822108,12.7155053,11.00744713,13.09947372
3.470712253,2.470002144,0.023490335,2.431324694,2.508679594,10.39372083,12.90251352,11.1681062,13.29066694
